               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.023975,             0.01159,                   0,             0.82882,              0.7029,             0.74322,             0.32042,             0.04329,            0.018271,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.025653,            0.011513,                   0,             0.87044,             0.73188,             0.78255,              0.3342,            0.044478,            0.017277,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.024269,            0.010291,                   0,             0.83999,             0.76082,             0.77794,             0.33219,            0.045316,             0.01734,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.024524,            0.010983,                   0,             0.84105,             0.76812,             0.76262,             0.32037,            0.045695,            0.017616,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,             0.02526,            0.011729,                   0,              0.8448,             0.71002,             0.74932,             0.32027,             0.04548,            0.016775,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.024186,            0.011308,                   0,             0.85585,             0.73188,             0.74917,             0.30682,            0.045093,            0.017492,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.025471,            0.011569,                   0,             0.85077,              0.7029,             0.75354,             0.31278,            0.045908,            0.018316,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.024413,            0.011598,                   0,             0.78046,             0.69556,             0.73242,             0.31776,            0.045491,            0.017936,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.023335,            0.010871,                   0,             0.79019,             0.73913,             0.73673,             0.33011,            0.045621,            0.018008,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.022736,            0.010741,                   0,             0.81427,             0.73188,             0.75906,             0.32554,            0.045097,            0.017435,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.022582,             0.01129,                   0,             0.89517,             0.68116,             0.78122,             0.33129,            0.044018,            0.017937,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.022078,            0.010804,                   0,             0.83468,             0.73172,             0.74644,             0.31815,            0.044328,             0.01763,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.024162,            0.011475,                   0,             0.82804,             0.76812,             0.76965,             0.34261,            0.043208,            0.017728,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.023123,               0.011,                   0,             0.87804,             0.78253,             0.80982,             0.33953,            0.044544,            0.017702,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,            0.022733,            0.010664,                   0,             0.89731,             0.76087,             0.78491,             0.33196,            0.044896,            0.017558,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.024517,            0.010675,                   0,             0.86608,             0.79671,             0.77774,             0.31398,            0.044841,             0.01798,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.023783,            0.010756,                   0,                 0.9,             0.71737,             0.78761,             0.34508,            0.045178,            0.017291,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.023051,            0.011173,                   0,             0.79996,             0.78241,             0.76389,             0.32768,            0.046001,            0.017912,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.022176,            0.010548,                   0,             0.83468,             0.73188,             0.76298,             0.32729,            0.044909,            0.018513,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.022577,            0.010778,                   0,             0.86486,              0.6956,             0.76581,             0.32802,            0.046209,            0.018432,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.022834,            0.010791,                   0,             0.81531,             0.73913,             0.77613,             0.32127,            0.046671,            0.018448,                   0,           0.0068457,           0.0068457,           0.0068457
                 123,            0.021737,            0.010718,                   0,             0.82749,             0.69565,             0.76632,             0.32945,            0.045204,            0.018335,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,             0.02207,            0.010553,                   0,             0.81227,             0.72464,             0.77696,             0.33075,            0.044607,            0.018591,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,            0.021591,            0.009942,                   0,             0.83593,              0.7029,             0.77231,             0.34906,            0.044801,            0.018358,                   0,           0.0067101,           0.0067101,           0.0067101
                 126,            0.022479,            0.010593,                   0,              0.7954,              0.7606,             0.75577,             0.33666,            0.045638,            0.017989,                   0,           0.0066647,           0.0066647,           0.0066647
